GA;GB;G1;G2;G3;G4;G5
102;"ООО ""НПФ ""ИСБ""";634034, г. Томск, пр-т Ленина, д. 28;7017091200;106;www.npf-isb.ru;
103;"ООО ""Альфа-сервис""";125375, г. Москва, ул. Тверская, д.7;7735513121;107;www.4trust.ru;
104;"ООО ""Такснет-сервис""";420021, Республика Татарстан, г.Казань, ул. К.Насыри, д.28;1655109956;108;-;
105;"АО ""ЭСК""";115114, г. Москва, 1-й Кожевнический переулок, д.6, стр. 1, помещение 14А;7709364346;109;-;
106;"ООО ""СИСЛИНК""";125493, г.Москва, ул. Авангардная, д.3;7743801719;110;www.cislink.com;
107;"ООО ""ЦЗИ ""ГРИФ""";152914, г. Рыбинск, бульвар Победы, д.17 ;76100814123;111;www.czi-grif.ru;
108;ООО ВОСТКОМ;677005, г. Якутск, ул. Стадухина, д.63/1;1435302087;112;www.vostcom.ru;
109;"ООО ""НТСсофт""";620062, г. Екатеренбург, ул. Чебышева, д.4;6670237020;113;http://edoc.ntssoft.ru;
110;"ООО ""УЦ ""Белинфоналог""";308007, г. Белгород, проспект Б.Хмельницкого, 133В;3123304163;114;http://www.belinfonalog.ru/;a
111;"ООО ""Индекс ПК""";119002, г. Москва, Плотников пер., дом 19/38, стр. 2;7704882182;115;-;
112;ООО ЭТП ГПБ;117342, г. Москва, Миклухо-Маклая д. 40;7724514910;116;https://etpgpb.ru;
113;"ЗАО ""Информационный центр""";127349,  г. Москва, Алтуфьевское ш., д.37, корп. 1;7701553038;117;-;
114;"ООО ""Бизнес Студия""";347740, г. Ростов, ул. Урожайная, д. 77, кв.2;6111984819;118;-;
115;"ООО ""Бифит ЭДО""";105203, г. Москва, ул. Нижняя Первомайская д. 46;7719443460;119;www.bifit.com;
116;"ООО ""СГР""";115088, г. Москва, Южнопортовый проезд, д. 18, стр. 1;7723749362;120;http://systemservice-tsd.ru/;
117;"ООО ""Э-КОМ""";115280, Москва, Ленинская Слобода, д.26 ком.82;9715218298;121;http://ru.ecom-info.com/;
118;"ООО ""Финтендер-Крипто""";656056, Барнаул, Максима Горького, д.29;2225129102;122;https://fintender.ru/;
119;ООО «МАСКОМ-Техлайн»;680038, г. Хабаровск, ул. Яшина, д.40;2722050371;123;www.mascom-it.ru;
120;"ОАО ""НИИАС""";109029, г.Москва, ул.Нижегородская, д.27, с.1;7709752846;124;http://www.vniias.ru/;
